FID	IID	ENSG00000152931.6	ENSG00000183696.9	ENSG00000139269.2	ENSG00000169129.8	ENSG00000134602.11	ENSG00000136237.12	ENSG00000259425.1	ENSG00000242284.2	ENSG00000235027.1
HG00096	HG00096	0.101857770468582	8.1838049456063	1.19991028786682	0.831939826228749	27.6464223725999	3.78850273139249	0.0540590649819536	0.351716382898523	0.200791414339667
HG00097	HG00097	0.0781095249582053	5.68691050653862	1.57357169691446	0.0697777450667378	24.3955715036476	2.05096276937706	0.112185357489692	0.444540251941709	0.190137938062251
HG00099	HG00099	0.0489806714207954	2.43465332606958	0.521615781673147	0.93108575037257	16.4453735152148	4.00031300285966	0.00359181983091798	0.227707651999832	0.0929246302159905
HG00100	HG00100	0.118597118618172	3.83089421985197	1.44722544015787	0.620940765480242	24.8066495438254	3.27161920134705	0.000499683211502511	0.714112406249513	0.108789749488722
HG00101	HG00101	0.00403496367614745	6.61228835251498	3.56579072437701	1.66066836204679	25.1133488775017	1.79821591847768	0.0293976115522442	0.450911709524112	0.23244822901371
HG00102	HG00102	0.0109253485646219	4.70964559086586	1.98268073472144	0.570481056180073	19.2339882617972	1.51668840574531	0.0312661751488703	0.491437808951175	0.250905117203001
HG00103	HG00103	-0.000901197553923871	7.3488756318161	0.675305185558106	1.2593929620234	27.8811161131843	2.50033276871929	0.105537602473341	2.95448626526032	0.104912117936143
HG00104	HG00104	-0.00670646099578265	8.18093983578541	3.81739498910016	0.734784010810412	27.1941174447205	4.50927680966078	0.0589530042085906	0.726428689241281	0.134485494653703
HG00105	HG00105	0.0988630165419412	8.72188896416039	2.56137581851546	1.47912444311165	28.5798565382473	2.34462511117298	0.0628515326355536	0.0336252518740155	0.264147433123935
HG00106	HG00106	0.0452846575848615	8.16947654034991	1.23104912414146	1.5486530348093	27.2264156967244	2.35809327551597	0.0282026970066359	-0.0135426000541589	0.165510266046693
HG00108	HG00108	0.0769367414340106	4.09009915080305	1.26943982702854	1.01019817979267	25.3847144149993	2.72995781438658	0.00993507649283715	0.427456811650753	0.135443236576179
HG00109	HG00109	0.246898644588526	6.1838302470373	2.06907848126168	0.559784136197285	22.8510977428324	1.01457788998332	0.0306825400533097	0.221835375060293	0.212913366528897
HG00110	HG00110	0.0885540460643121	8.72142784140249	2.55147284416226	0.477959858154976	26.2391967575926	1.72434932324923	0.0967847276186057	0.871281713899202	0.217772339972355
HG00111	HG00111	0.0519733855651512	5.02911174128258	2.67433019214546	0.491458138486715	22.1572778528481	1.82370364816008	0.12511705009899	0.705512345721348	0.283371344763476
HG00112	HG00112	0.0960895886763577	16.1691377991459	4.21232612919875	1.07047121505583	24.7107313876636	2.31058954505349	0.0858205074463549	0.349910517287133	0.157654622451981
HG00114	HG00114	0.0638097933382033	5.47570035473588	2.23736587097306	0.793002335897769	26.9952407662221	2.10757472616071	0.00298124500951952	-0.21915904083053	0.0515117241387034
HG00115	HG00115	0.110985673181817	5.40154664584248	1.43083091089534	0.918822370134806	31.8267413033666	1.99350617765789	0.0590051936072967	0.871605226562955	0.122874473284655
HG00116	HG00116	0.100075574648624	5.79566531461468	3.2569310745411	0.340385553647248	25.3035435652885	2.46787142603486	0.00436694136494163	0.0536294081366178	0.201281912923502
HG00117	HG00117	0.146880535433817	7.33964777114822	2.76662582637163	1.30964828097658	27.6034311189127	1.25744610516872	0.0645449456271824	0.214757389163727	0.157554834151942
HG00118	HG00118	0.0467660507583092	6.60847210826448	2.07479238304592	1.96534930927656	23.9275862282553	1.5892416503808	0.0820237643462215	0.031801493891739	0.158495657188579
HG00119	HG00119	0.0629709774785819	11.818120718252	2.61557210612435	0.152403995351664	24.0231756154594	2.88030316550925	-0.020186934347871	0.112178140290884	0.190024145389858
HG00120	HG00120	0.150544722548943	4.72796155145855	2.63074216154368	1.73299338935003	30.2815833016369	3.79146938526479	0.158566350011824	-0.317718540002321	0.123511866946854
HG00121	HG00121	0.04199891708349	3.41357035692031	2.9211863297523	1.24948028282525	27.265222244108	2.26630984585373	0.0726728987982234	0.28250670077407	0.158721692893082
HG00122	HG00122	0.0751741396297664	3.63276136420963	2.35170887392932	1.20040950242716	28.5300074960812	3.04281420451787	0.0212005696016489	-0.0968358139759996	0.160355101393903
HG00123	HG00123	0.212984611529124	5.14920911988266	2.06191597584674	1.22197855784674	24.2325685487658	4.03862725412766	0.155062103019372	-0.011115453067592	0.225885487930431
HG00124	HG00124	0.0393149802293333	3.69076528059473	2.45439123761728	1.04794045198065	27.400517466353	11.6872573332583	0.0184666126862732	-0.228456017514934	0.204459896523005
